listing_year,title,author,detail_url,title_eng,language,faculty,programme,department,submitted,defended,abstract,key_words,pdf_url,abstract_length,is_ai_focused_zero_shot,ai_confidence_zero_shot,is_ai_focused_llm,ai_confidence_llm,is_ai_focused
2020,Implementace knihovny pro použití Domain-Driven Designu v prostředí .NET a Mongo DB,dužij maxim,https://vskp.vse.cz/79938_implementace-knihovny-pro-pouziti-domain-driven-designu-v-prostredi-net-a-mongo-db?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=6,ddd infrastructure library on .net core platform using mongodb,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra informačních technologií,6. 5. 2020,25. 6. 2020,"ddd (domain-driven design) is a popular approach to complex software development. however, there are many ways to implement such approach on .net core platform using mongodb database.main goal of this bachelor thesis is a creation of a framework that could help me, as a developer, speed up early development and use ddd approach in my .net application. the framework will include not only common ddd objects and interfaces (typed identifiers, domain aggregates and domain events) but also include persistence layer where it will use mongodb database engine.part of this bachelor work will also include sample library domain and library client application (razor pages) what will use the framework and demonstrate basic principles of ddd.",ddd; domain-driven design; mongodb; .net core,https://insis.vse.cz/zp/71436,738,False,0.5705583691596985,False,0.0,False
2020,Model-driven development a jeho využití při vývoji velkých informačních systémů,barchánková adéla,https://vskp.vse.cz/80049_model-driven-development-a-jeho-vyuziti-pri-vyvoji-velkych-informacnich-systemu?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=7,model driven development and its use in the development of large information systems,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra informačních technologií,10. 5. 2020,24. 6. 2020,"the main aim of this bachelor thesis is to provide a comprehensive description of model-driven development and analyse its approaches, practices and available tools with focus on server-based applications of large information systems. the first part of this study shall cover the definitions of the methodology, its principles, best practices, and analyse the possible benefits or disadvantages of this approach. it will also capture the current situation on the market with commercial mdd tools. second part contains an analysis and description of the metasystem application: a non-commercial mdd tool developed by czech it company, which is used for modelling and development of large information systems. the thesis provides a comparison between the mentioned tool and one of the most commonly used application – sparks’s enterprise architect with one main question: would metasystem be commercially competitive on current market? in the latter part, the thesis focuses on an analysis and design of possible enhancements in the functionality of the tool.",model-driven development; modelling; software development; information technology,https://insis.vse.cz/zp/71974,1057,False,0.7111928462982178,False,0.0,False
2020,Návrh uživatelského rozhraní pro chytré brýle,poláček robert,https://vskp.vse.cz/79987_navrh-uzivatelskeho-rozhrani-pro-chytre-bryle?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=7,user interface concept for smart glasses,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra multimédií,8. 5. 2020,23. 6. 2020,"the goal of this thesis is to design a concept of the user interface for smart glasses for everyday personal use, that should help developers to make digital products for this platform.the theoretical part contains an analysis of manufacturers’ approaches to user interfaces inside smart glasses. the first section is a list of models, currently available in the market. the second section aims to collect important information, that helps to design the user interface concept (elements’ placement in user’s point of view, user experience evolution and user needs). the third section aims to summarize current visual design approaches in extended reality industry. the practical part is the concept of the user interface itself, based on the research from the theoretical part. the concept includes optimal ways to control smart glasses, their physical characteristics, user interface components, suggested apps list and visual design recommendations.",smart glasses; user interface; design,https://insis.vse.cz/zp/71250,951,False,0.6853442788124084,False,0.0,False
2020,Serverless Computing: Benefits and challenges,drozdová zuzana,https://vskp.vse.cz/80120_serverless-computing-benefits-and-challenges?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=8,serverless computing: benefits and challenges,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra informačních technologií,11. 5. 2020,22. 6. 2020,"serverless computing is a relatively new, and still evolving cloud category, which brings a new approach to the development and deployment of applications. the serverless fundamental model function as a service (faas) allows to execute small pieces of code, without dealing with a server. the purpose of this thesis is to explore this topic more deeply, and introduce architectural design patterns, which are suitable for the serverless approach. this cloud category has benefits, but as it is a new technology, it has also certain drawbacks. this thesis demonstrates these benefits and drawbacks on use cases, or a situation. the purpose of the practical part is to develop a prototype application, which applies the architectural patterns described in the thesis. in the thesis is also described a detailed implementation and then evaluation of the application. the result of this thesis are benefits and drawbacks of serverless computing, serverless architectural design patterns and a prototype application.",cloud computing; aws; serverless computing; function as a service,https://insis.vse.cz/zp/72336,1011,False,0.6828542351722717,False,0.0,False
2020,Obchodní hodnota a vliv principů UX a UI v internetovém obchodě,nekhymchuk valeriya,https://vskp.vse.cz/80093_obchodni-hodnota-a-vliv-principu-ux-a-ui-v-internetovem-obchode?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=8,the business value and influence of ux and ui principles in e-commerce,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra informačních technologií,10. 5. 2020,22. 6. 2020,"this bachelor thesis explores the importance of user experience and user interface principles to an e-commerce website and the value their application contributes to the business. the fields of user experience and user interface design were defined and various principles presented. furthermore, the topic of e-commerce was described with a particular focus on how an e-commerce website's business performance is measured. the reader can expect to be familiarized with the terminology of the topic. the goal is to evaluate the impact of user experience and user interface principles on an e-commerce website. it was achieved by surveying people with experience in online shopping and experts in the field of e-commerce. further insights on the topic were gathered by interviewing some of the expert participants. the results demonstrate that user experience and user interface principles are highly valued both by experts who design and optimize e-commerce websites, and the shoppers who use them. the e-commerce professionals who were interviewed also agreed that user experience and user interface design bring value to an e-commerce business, and recommended close collaboration between experts in design, sales and data analysis.",business value; ui; user interface; influence; e-commerce; user experience; ecom;  ux,https://insis.vse.cz/zp/68268,1233,False,0.5728555917739868,False,0.99,False
2020,Analyza využití Google Analytics v konkrétní firmě,badashkhanov vladimir,https://vskp.vse.cz/80160_analyza-vyuziti-google-analytics-v-konkretni-firme?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=8,analysis of google analytics usage in a particular business,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra systémové analýzy,11. 5. 2020,18. 6. 2020,"the aim of this bachelor thesis is to reflect influence of usage of google analytics on a product lifecycle. based on a professional literature and data that was generously provided from a multinational company that desired to stay anonymous, this thesis describes digital marketing and one of the major products in this field – google analytics.  part of this document is focused on technology behind google analytics. another part is focused on analysis of usage of google analytics inside a company that was mentioned above and one of its products.first part of thesis acquaints user with terms digital marketing and google analytics and reflects their importance in modern age while at the same time describing technology behind google analytics software. consequently, reader will be introduced to general information about company that provided data for research purposes of this document. in the practical part will be conducted actual analysis based on gathered data and therefore reader will explore the actual influence of integrating google analytics inside the company’s product.as an outcome of this research, thesis reflects usage of google analytics inside a company and states whether it brings value or not.",google analytics; digital marketing; web analytics; software,https://insis.vse.cz/zp/71805,1224,False,0.7641876339912415,False,0.0,False
2020,Prehľad psychosociálnych a kognítivnych faktorov ktoré ovplyvňujú priebeh softvérových projektov.,kočiš roman,https://vskp.vse.cz/80125_prehlad-psychosocialnych-a-kognitivnych-faktorov-ktore-ovplyvnuju-priebeh-softverovych-projektov?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=9,a field review of cognitive and psychosocial factors influencing software development management,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra informačních technologií,11. 5. 2020,17. 6. 2020,"software development projects are prone to systematic failure as a cause of involved parties processing and sharing information in maladaptive ways that impedes progress of the project. two explanatory ways of information processing are presented. first is the confirmation bias, which describes a natural tendency of individuals to avoid information that is not the information they would like to be seeing. the other is the mum effect, which is the tendency of individuals to withhold information for various internal and external reasons. an observational case study is presented that describes a software project plagued by the issues that the two factors are responsible for in many cases. some tips for information technology managers are presented with the aim of helping to recognise and battle the consequences of the factors taking effect.",congitive bias; software project; information transmission; mum effect,https://insis.vse.cz/zp/72285,849,False,0.7182587385177612,False,0.0,False
2020,Světlo jako prvek vizuálního vyprávění,ziakun kseniia,https://vskp.vse.cz/80048_svetlo-jako-prvek-vizualniho-vypraveni?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=9,light as an element in visual storytelling,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra multimédií,10. 5. 2020,17. 6. 2020,"lighting is an essential part of filmmaking. it is designed to evoke emotions in the audience, highlight the characters and enrich the plot. light is as important as acting and musical accompaniment. many beginner film enthusiasts ignore the light and think more about the quality of the camera and lenses. but in fact, even with the best and most modern cameras, the image will look dull and flat if the lighting was not given enough attention.the theoretical part contains the theory of light as a physical phenomenon: it summarizes the history of technical development of light and describes the fundamental technologies that exist today. this part is followed by a chapter that deals with light as a means of expression and discusses ways of using it to convey artistic value. the practical part analyzes two films differing in mood in terms of lighting. the function of light is described in the context of a scene: what light tells about the story, what atmosphere it creates and what mood it contributes. the conclusion of the practical part is that the study of the theory of light allows the film to open to the viewer on a completely new, deeper and richer level. allowing him to notice important details that communicate more about the film than was just told in the plot. thus, proving the initial idea about the inherent importance of light as an integral element of cinema language.",film; hmi; tungsten; led; exposure; film language; lighting,https://insis.vse.cz/zp/71983,1396,False,0.8353995680809021,False,0.0,False
2020,Possibilities of Amazon AWS and Google GCP cloud services in specific usecases,michálek ondřej,https://vskp.vse.cz/80182_possibilities-of-amazon-aws-and-google-gcp-cloud-services-in-specific-usecases?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=10,possibilities of amazon aws and google gcp cloud services in specific usecases,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra informačních technologií,11. 5. 2020,17. 6. 2020,"cloud iaas providers that target enterprise and midmarket customers generally offer a high-quality service, with excellent availability, good performance, high security and good customer support. this group of providers contain amazon web services who pioneered the cloud iaas market in 2006 and also google cloud platform who entered the cloud iaas market in 2012.work aims to analyze and differentiate three services which these providers offer to customers:* virtual machines and their usage in server scaling (aws elastic compute cloud, gcp compute cloud)* storage used while file sharing (aws simple storage service, gcp storage)* access management of services and data (aws iam, gcp iam)all of these three chapters contain detailed introduction of the service, the concept it roofs and detailed comparison of steps needed to set-up such services. this is needed for analysing the differences and similarities of provided services and serves two purposes:* comparison of services provided by these provides * evaluation of why is aws more popular than gcp and if customers should choose either of them",amazon aws; simple storage; ec2; compute engine; scaling; iam; google cloud platform; s3; access management,https://insis.vse.cz/zp/71568,1106,False,0.7625869512557983,False,0.0,False
2020,Role režiséra v reklamní tvorbě a jeho možnosti kreativně ovlivnit výstup,sobolev igor,https://vskp.vse.cz/80126_role-rezisera-v-reklamni-tvorbe-a-jeho-moznosti-kreativne-ovlivnit-vystup?type=Bakal%C3%A1%C5%99sk%C3%A1+pr%C3%A1ce&year=2020&page=10,the director's role in commercial films and his ability to creatively influence the final output,english,fakulta informatiky a statistiky,aplikovaná informatika,katedra multimédií,11. 5. 2020,17. 6. 2020,"the principal theme of this bachelor thesis is getting into details of the director’s job in the commercial production process and reveal hidden parts that might not be obvious for people entering this field. it will cover not only the creative side of this profession, but also what goes behind the scene, which might prove to be much more important, than the ability to work on set.in the theoretic part i will briefly describe basic terminology and cover some of the historical changes that happened in the commercial and filmmaking industry over time. finally, based on detailed research, the practical part will answer to remaining questions, giving a full picture of a commercial director’s profession, and give advices for beginner directors who are planning to work or have an interest in commercial shooting.",advertising agency; director; advertising film; production company; filmmaking; commercial director,https://insis.vse.cz/zp/72274,817,False,0.7945250868797302,False,0.0,False
